year	stock	survey	n_tow	kg_tow		
1976	mackerel	NMFS spring BTS	3.58	0.51		
1977	mackerel	NMFS spring BTS	0.61	0.17		
1978	mackerel	NMFS spring BTS	1.92	0.69		
1979	mackerel	NMFS spring BTS	0.36	0.19		
1980	mackerel	NMFS spring BTS	1.18	0.42		
1981	mackerel	NMFS spring BTS	12.33	5.19		
1982	mackerel	NMFS spring BTS	3.36	0.55		
1983	mackerel	NMFS spring BTS	0.58	0.09		
1984	mackerel	NMFS spring BTS	10.51	1.69		
1985	mackerel	NMFS spring BTS	5.34	1.45		
1986	mackerel	NMFS spring BTS	2.71	0.82		
1987	mackerel	NMFS spring BTS	23.19	4.93		
1988	mackerel	NMFS spring BTS	11.37	2.80		
1989	mackerel	NMFS spring BTS	8.43	0.76		
1990	mackerel	NMFS spring BTS	7.27	1.05		
1991	mackerel	NMFS spring BTS	15.84	3.80		
1992	mackerel	NMFS spring BTS	16.65	3.23		
1993	mackerel	NMFS spring BTS	17.75	3.84		
1994	mackerel	NMFS spring BTS	26.25	4.10		
1995	mackerel	NMFS spring BTS	16.55	3.46		
1996	mackerel	NMFS spring BTS	28.20	7.79		
1997	mackerel	NMFS spring BTS	15.10	1.73		
1998	mackerel	NMFS spring BTS	17.08	2.30		
1999	mackerel	NMFS spring BTS	34.78	4.88		
2000	mackerel	NMFS spring BTS	49.55	4.82		
2001	mackerel	NMFS spring BTS	79.00	10.66		
2002	mackerel	NMFS spring BTS	23.86	5.18		
2003	mackerel	NMFS spring BTS	41.00	7.51		
2004	mackerel	NMFS spring BTS	75.02	5.48		
2005	mackerel	NMFS spring BTS	21.91	2.90		
2006	mackerel	NMFS spring BTS	47.10	6.89		
2007	mackerel	NMFS spring BTS	20.85	3.85		
2008	mackerel	NMFS spring BTS	49.02	7.88		
2009	mackerel	NMFS spring BTS	86.76	8.63		
2010	mackerel	NMFS spring BTS	26.00	3.83		
2011	mackerel	NMFS spring BTS	73.55	5.52		
2012	mackerel	NMFS spring BTS	40.48	3.40		
2013	mackerel	NMFS spring BTS	21.79	3.01		
2014	mackerel	NMFS spring BTS	3.46	0.60		
2015	mackerel	NMFS spring BTS	101.84	13.79		
2016	mackerel	NMFS spring BTS	20.32	2.73		
1968	redfish	NMFS spring BTS	45.176	17.094		
1969	redfish	NMFS spring BTS	46.424	19.698		
1970	redfish	NMFS spring BTS	54.717	18.945		
1971	redfish	NMFS spring BTS	157.215	71.567		
1972	redfish	NMFS spring BTS	101.218	44.374		
1973	redfish	NMFS spring BTS	44.349	25.306		
1974	redfish	NMFS spring BTS	34.309	18.843		
1975	redfish	NMFS spring BTS	38.93	17.621		
1976	redfish	NMFS spring BTS	62.211	26.194		
1977	redfish	NMFS spring BTS	25.062	11.59		
1978	redfish	NMFS spring BTS	23.977	12.167		
1979	redfish	NMFS spring BTS	61.409	32.259		
1980	redfish	NMFS spring BTS	29.806	20.344		
1981	redfish	NMFS spring BTS	33.041	18.307		
1982	redfish	NMFS spring BTS	16.961	9.407		
1983	redfish	NMFS spring BTS	9.852	6.069		
1984	redfish	NMFS spring BTS	4.963	2.68		
1985	redfish	NMFS spring BTS	11.723	6.606		
1986	redfish	NMFS spring BTS	5.271	3.217		
1987	redfish	NMFS spring BTS	24.499	12.926		
1988	redfish	NMFS spring BTS	8.094	3.267		
1989	redfish	NMFS spring BTS	7.811	2.982		
1990	redfish	NMFS spring BTS	12.335	6.814		
1991	redfish	NMFS spring BTS	9.465	4.262		
1992	redfish	NMFS spring BTS	37.859	10.671		
1993	redfish	NMFS spring BTS	35.5	17.501		
1994	redfish	NMFS spring BTS	16.14	3.921		
1995	redfish	NMFS spring BTS	7.227	1.918		
1996	redfish	NMFS spring BTS	28.743	11.888		
1997	redfish	NMFS spring BTS	212.008	34.038		
1998	redfish	NMFS spring BTS	34.67	7.839		
1999	redfish	NMFS spring BTS	76.042	19.019		
2000	redfish	NMFS spring BTS	180.079	56.009		
2001	redfish	NMFS spring BTS	101.607	37.968		
2002	redfish	NMFS spring BTS	225.165	61.206		
2003	redfish	NMFS spring BTS	109.138	33.335		
2004	redfish	NMFS spring BTS	152.285	55.67		
2005	redfish	NMFS spring BTS	145.33	46.261		
2006	redfish	NMFS spring BTS	34.694	10.331		
2007	redfish	NMFS spring BTS	122.24	35.096		
2008	redfish	NMFS spring BTS	125.155	46.014		
2009	redfish	NMFS spring BTS	75.116	17.482		
2010	redfish	NMFS spring BTS	116.525	29.413		
2011	redfish	NMFS spring BTS	147.95	41.811		
2012	redfish	NMFS spring BTS	119.448	33.727		
2013	redfish	NMFS spring BTS	100.279	31.494		
2014	redfish	NMFS spring BTS	140.63	48.032		
2015	redfish	NMFS spring BTS	69.162	25.588		
1963	redfish	NMFS fall BTS	87.339	24.115		
1964	redfish	NMFS fall BTS	116.25	53.645		
1965	redfish	NMFS fall BTS	56.999	13.206		
1966	redfish	NMFS fall BTS	93.829	29.274		
1967	redfish	NMFS fall BTS	100.58	24.374		
1968	redfish	NMFS fall BTS	143.443	40.442		
1969	redfish	NMFS fall BTS	71.23	23.759		
1970	redfish	NMFS fall BTS	93.97	32.967		
1971	redfish	NMFS fall BTS	47.992	23.422		
1972	redfish	NMFS fall BTS	55.567	24.637		
1973	redfish	NMFS fall BTS	39.157	17.047		
1974	redfish	NMFS fall BTS	48.296	24.16		
1975	redfish	NMFS fall BTS	74.833	39.954		
1976	redfish	NMFS fall BTS	28.847	15.29		
1977	redfish	NMFS fall BTS	40.388	17.251		
1978	redfish	NMFS fall BTS	45.203	20.737		
1979	redfish	NMFS fall BTS	28.886	15.978		
1980	redfish	NMFS fall BTS	20.582	12.631		
1981	redfish	NMFS fall BTS	20.355	12.235		
1982	redfish	NMFS fall BTS	9.182	3.476		
1983	redfish	NMFS fall BTS	10.039	4.127		
1984	redfish	NMFS fall BTS	7.772	3.936		
1985	redfish	NMFS fall BTS	13.01	5.691		
1986	redfish	NMFS fall BTS	26.05	8.012		
1987	redfish	NMFS fall BTS	13.722	5.458		
1988	redfish	NMFS fall BTS	12.43	6.328		
1989	redfish	NMFS fall BTS	20.251	6.816		
1990	redfish	NMFS fall BTS	35.527	12.156		
1991	redfish	NMFS fall BTS	19.059	8.362		
1992	redfish	NMFS fall BTS	22.37	8.094		
1993	redfish	NMFS fall BTS	35.617	11.199		
1994	redfish	NMFS fall BTS	20.859	5.94		
1995	redfish	NMFS fall BTS	33.22	4.654		
1996	redfish	NMFS fall BTS	169.625	30.633		
1997	redfish	NMFS fall BTS	65.019	18.942		
1998	redfish	NMFS fall BTS	116.945	31.72		
1999	redfish	NMFS fall BTS	82.477	22.864		
2000	redfish	NMFS fall BTS	104.419	26.161		
2001	redfish	NMFS fall BTS	89.614	28.17		
2002	redfish	NMFS fall BTS	185.177	41.878		
2003	redfish	NMFS fall BTS	250.923	65.493		
2004	redfish	NMFS fall BTS	127.281	36.628		
2005	redfish	NMFS fall BTS	166.062	46.954		
2006	redfish	NMFS fall BTS	183.413	50.224		
2007	redfish	NMFS fall BTS	170.019	50.391		
2008	redfish	NMFS fall BTS	219.433	62.279		
2009	redfish	NMFS fall BTS	234.857	40.721		
2010	redfish	NMFS fall BTS	283.037	83.465		
2011	redfish	NMFS fall BTS	218.324	59.997		
2012	redfish	NMFS fall BTS	261.392	68.393		
2013	redfish	NMFS fall BTS	97.669	30.471		
2014	redfish	NMFS fall BTS	121.779	39.236		
